-3.8, '1111000', [0.79646, 0.79752, 0.798067, 0.799765, [99900], [99900], [99900]], [1e-05, 1e-05, 0.000537, 9.5e-05, [99900], [99900], [99900]], [-5.46691, -5.46899, -5.470947, -5.475015, [99900], [99900], [99900]], [1e-05, 1e-05, 0.000792, 0.000421, [99900], [99900], [99900]]
-26.5, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89722, 0.8972], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.8329, -4.83416], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-26.9, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89721, 0.89718], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83288, -4.8342], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-27.4, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89719, 0.89716], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83292, -4.83422], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-27.8, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89715, 0.89717], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83301, -4.83416], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-28.2, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.8971, 0.89718], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83305, -4.83407], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-28.6, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89706, 0.89716], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83303, -4.83405], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-29.1, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89704, 0.89709], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83299, -4.83413], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-29.5, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89701, 0.89702], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83299, -4.83416], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-29.9, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.897, 0.89699], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83303, -4.83412], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-30.3, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89698, 0.89699], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83308, -4.83407], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-30.7, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89695, 0.89701], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83313, -4.83398], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-29.9, '0110000', [[99900], 0.88929, 0.88894, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 1e-05, [99900], [99900], [99900], [99900]], [[99900], -4.83199, -4.834, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 1e-05, [99900], [99900], [99900], [99900]]
-29.1, '1110000', [0.8936, 0.893705, 0.89377, [99900], [99900], [99900], [99900]], [1e-05, 0.000138, 0.000119, [99900], [99900], [99900], [99900]], [-4.83549, -4.83812, -4.84082, [99900], [99900], [99900], [99900]], [1e-05, 0.000134, 0.000674, [99900], [99900], [99900], [99900]]
-29.5, '1110000', [0.89357, 0.8937, 0.89362, [99900], [99900], [99900], [99900]], [1e-05, 0.000134, 1.4e-05, [99900], [99900], [99900], [99900]], [-4.83557, -4.83805, -4.83999, [99900], [99900], [99900], [99900]], [1e-05, 0.000106, 0.000276, [99900], [99900], [99900], [99900]]
-29.9, '1110000', [0.8935, 0.893645, 0.89361, [99900], [99900], [99900], [99900]], [1e-05, 0.000138, 0.0, [99900], [99900], [99900], [99900]], [-4.8356, -4.838045, -4.83997, [99900], [99900], [99900], [99900]], [1e-05, 8.8e-05, 0.000297, [99900], [99900], [99900], [99900]]
-30.3, '1110000', [0.893407, 0.893595, 0.89362, [99900], [99900], [99900], [99900]], [0.000166, 0.000145, 1e-05, [99900], [99900], [99900], [99900]], [-4.836477, -4.838075, -4.84008, [99900], [99900], [99900], [99900]], [0.000401, 8.1e-05, 1e-05, [99900], [99900], [99900], [99900]]
-30.8, '1100000', [0.893448, 0.893585, [99900], [99900], [99900], [99900], [99900]], [0.000127, 0.000145, [99900], [99900], [99900], [99900], [99900]], [-4.836755, -4.838135, [99900], [99900], [99900], [99900], [99900]], [0.00039, 8.1e-05, [99900], [99900], [99900], [99900], [99900]]
-31.2, '1110000', [0.893245, 0.893595, 0.89359, [99900], [99900], [99900], [99900]], [0.000145, 0.000159, 1e-05, [99900], [99900], [99900], [99900]], [-4.83601, -4.83826, -4.84, [99900], [99900], [99900], [99900]], [0.000163, 0.000106, 1e-05, [99900], [99900], [99900], [99900]]
-31.6, '1110000', [0.89316, 0.893465, 0.89357, [99900], [99900], [99900], [99900]], [1.4e-05, 7.4e-05, 1e-05, [99900], [99900], [99900], [99900]], [-4.835935, -4.83837, -4.83977, [99900], [99900], [99900], [99900]], [0.000378, 0.000346, 1e-05, [99900], [99900], [99900], [99900]]
-32.0, '1100000', [0.89283, 0.89332, [99900], [99900], [99900], [99900], [99900]], [0.000148, 1.4e-05, [99900], [99900], [99900], [99900], [99900]], [-4.83645, -4.838555, [99900], [99900], [99900], [99900], [99900]], [2.1e-05, 0.000301, [99900], [99900], [99900], [99900], [99900]]
-27.8, '0110000', [[99900], 0.89371, 0.89365, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 1e-05, [99900], [99900], [99900], [99900]], [[99900], -4.83821, -4.84014, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 1e-05, [99900], [99900], [99900], [99900]]
-28.2, '0110000', [[99900], 0.89385, 0.89365, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 2.8e-05, [99900], [99900], [99900], [99900]], [[99900], -4.8384, -4.840155, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000265, [99900], [99900], [99900], [99900]]
-48.0, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.86809, 0.86866], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.01922, -4.02148], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-48.4, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.86807, 0.86866], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.01918, -4.02143], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-48.9, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.86807, 0.86865], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.01915, -4.02135], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-49.3, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.86811, 0.86866], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.01913, -4.02126], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-36.2, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.827, 0.82765], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.0168, -4.01898], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-36.6, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.82718, 0.82775], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.0168, -4.01899], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-37.1, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.82728, 0.82778], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.01677, -4.01899], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-1.7, '0000110', [[99900], [99900], [99900], [99900], 0.415465, 0.41606, [99900]], [[99900], [99900], [99900], [99900], 0.000124, 0.000148, [99900]], [[99900], [99900], [99900], [99900], -2.3948, -2.396605, [99900]], [[99900], [99900], [99900], [99900], 1.4e-05, 0.000626, [99900]]
-2.1, '0000111', [[99900], [99900], [99900], [99900], 0.41537, 0.41612, 0.41605], [[99900], [99900], [99900], [99900], 2.8e-05, 0.000184, 1e-05], [[99900], [99900], [99900], [99900], -2.394855, -2.39683, -2.39628], [[99900], [99900], [99900], [99900], 0.000301, 0.000735, 1e-05]
