,#NO,RA,DEC,VLSR,FLUX,DFLUX,??
,65,0.61408,-5.36002,-13.47157,2.52700,0.09000,1
,66,0.60941,-5.35395,-13.89286,2.21000,0.07300,1
,66,0.61111,-5.35725,-13.89286,2.29100,0.07200,1
,66,0.61401,-5.36010,-13.89286,1.44600,0.07300,1
,67,0.60938,-5.35419,-14.31416,1.23900,0.06000,1
,67,0.61120,-5.35739,-14.31416,1.66400,0.05800,1
,68,0.61240,-5.35702,-14.73546,2.01100,0.05800,1
,68,0.61269,-5.35673,-14.73546,1.18200,0.05800,1
,69,0.61066,-5.35332,-15.15675,1.43700,0.07100,1
,69,0.61243,-5.35662,-15.15675,2.83600,0.07200,1
,70,0.61057,-5.35299,-15.57805,1.34500,0.09300,1
,70,0.68557,-5.28900,-15.57805,2.05300,0.09500,1
,71,0.68548,-5.28913,-15.99935,7.72500,0.19900,1
,71,0.68568,-5.28864,-15.99935,5.39700,0.19900,1
,72,0.68389,-5.28598,-16.42064,14.12000,0.52000,1
,72,0.68547,-5.28910,-16.42064,25.53500,0.52000,1
,72,0.68567,-5.28861,-16.42064,16.07100,0.52000,1
,73,0.68384,-5.28582,-16.84194,24.57900,0.90900,1
,73,0.68545,-5.28912,-16.84194,43.06600,0.90900,1
,73,0.68564,-5.28860,-16.84194,30.03600,0.90900,1
,74,0.68386,-5.28595,-17.26324,25.60200,0.93800,1
,74,0.68544,-5.28913,-17.26324,45.00200,0.93800,1
,74,0.68559,-5.28853,-17.26324,31.75700,0.93800,1
,74,0.69392,-5.30327,-17.26324,10.16000,0.93700,1
,75,0.68033,-5.28141,-17.68454,4.97600,0.57900,1
,75,0.68081,-5.28282,-17.68454,14.09300,0.61200,1
,75,0.68383,-5.28594,-17.68454,17.49200,0.61200,1
,75,0.68541,-5.28915,-17.68454,27.97600,0.61200,1
,75,0.68557,-5.28858,-17.68454,22.33000,0.61200,1
,75,0.69390,-5.30329,-17.68454,6.56900,0.61100,1
,76,0.68040,-5.28172,-18.10583,2.97000,0.27000,1
,76,0.68079,-5.28283,-18.10583,4.78100,0.28500,1
,76,0.68367,-5.28605,-18.10583,5.76300,0.28500,1
,76,0.68395,-5.28574,-18.10583,4.13200,0.28500,1
,76,0.68545,-5.28929,-18.10583,13.12200,0.28500,1
,76,0.68555,-5.28859,-18.10583,10.32300,0.28500,1
,77,0.68550,-5.28962,-18.52713,5.04700,0.13700,1
,77,0.68550,-5.28870,-18.52713,5.76500,0.13900,1
,78,0.68511,-5.28947,-18.94843,2.19400,0.08500,1
,78,0.68565,-5.28909,-18.94843,4.33000,0.09000,1
,80,0.68206,-5.28536,-19.79102,1.02600,0.07000,1
,80,0.68398,-5.28747,-19.79102,2.44900,0.07200,1
,81,0.68188,-5.28544,-20.21232,1.19500,0.08800,1
,81,0.68398,-5.28823,-20.21232,1.24500,0.08900,1
,81,0.68408,-5.28746,-20.21232,1.15100,0.09000,1
,82,0.68177,-5.28554,-20.63361,1.57600,0.10900,1
,83,0.68175,-5.28553,-21.05491,1.40200,0.14500,1
,84,0.71837,-5.33076,-21.47621,1.05200,0.17600,1
,85,0.71859,-5.33108,-21.89750,1.12500,0.17500,1
,86,0.67363,-5.26418,-22.31880,1.24000,0.15300,1
,87,0.67361,-5.26484,-22.74010,4.34300,0.13900,1
,87,0.67378,-5.26427,-22.74010,3.35900,0.13900,1
,88,0.65251,-5.30234,-23.16139,1.02900,0.17400,1
,88,0.66875,-5.25767,-23.16139,1.40500,0.17400,1
,88,0.66899,-5.25856,-23.16139,4.09200,0.18300,1
,88,0.67364,-5.26489,-23.16139,8.20800,0.18300,1
,88,0.67379,-5.26429,-23.16139,5.96700,0.18300,1
,89,0.65253,-5.30231,-23.58269,1.32000,0.19100,1
